seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_followup_excl_comment
62,102,drugs_alcohol,543,neuro_dementia,541595,9023,0,continuous,gday,0.157003749,0.349285696,0,14,16,24,0,0,1
63,102,drugs_alcohol,543,neuro_dementia,549304,9023,0,continuous,gday,-0.755022584,0.367147133,0,0,2,6,0,0,1
64,102,drugs_alcohol,543,neuro_dementia,549304,9023,0,continuous,gday,-0.15082289,0.651859042,0,0,6,9,0,0,1
65,102,drugs_alcohol,543,neuro_dementia,573880,9023,0,continuous,gday,0.270027137,0.06778142,0.142857143,10.71428571,0,0,0,0,0
66,102,drugs_alcohol,543,neuro_dementia,573880,9023,0,continuous,gday,0.139761942,0.092577932,0.142857143,10.71428571,10.71428571,21.42857143,0,0,0
67,102,drugs_alcohol,543,neuro_dementia,573880,9023,0,continuous,gday,0.067658648,0.087851382,0.142857143,10.71428571,21.42857143,42.85714286,0,0,0
68,102,drugs_alcohol,543,neuro_dementia,573880,9023,0,continuous,gday,0.198850859,0.089734931,0.142857143,10.71428571,42.85714286,64.28571429,0,0,0
69,102,drugs_alcohol,543,neuro_dementia,573880,9023,0,continuous,gday,0.418710335,0.09038519,0.142857143,10.71428571,64.28571429,96.42857143,0,0,0
70,102,drugs_alcohol,543,neuro_dementia,573882,9023,0,continuous,gday,-0.235722334,0.01938416,0,0,1,15,0,0,1
71,102,drugs_alcohol,543,neuro_dementia,573882,9023,0,continuous,gday,-0.186329578,0.027522694,0,0,15,29.9,0,0,1
72,102,drugs_alcohol,543,neuro_dementia,573882,9023,0,continuous,gday,0.076961041,0.023637457,0,0,30,45,0,0,1
73,102,drugs_alcohol,543,neuro_dementia,573882,9023,0,continuous,gday,-0.248461359,0.029279468,0,0,1,15,0,0,1
74,102,drugs_alcohol,543,neuro_dementia,573882,9023,0,continuous,gday,-0.139262067,0.112972612,0,0,15,29.9,0,0,1
75,102,drugs_alcohol,543,neuro_dementia,573882,9023,0,continuous,gday,0.173953307,0.152509439,0,0,30,45,0,0,1
76,102,drugs_alcohol,543,neuro_dementia,552627,9023,0,continuous,gday,0,0.162447511,0,24,24,36,0,0,0
