seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_inc
71,102,drugs_alcohol,495,cvd_stroke_isch,431967,9023,0,continuous,gday,0.09531018,0.126125662,0,0,0,15,0,1,1
72,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,1
73,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.076961041,0.105360284,0,1.714285714,25.71428571,35.99999999,0,1,1
74,102,drugs_alcohol,495,cvd_stroke_isch,429723,9023,0,continuous,gday,-0.030459207,0.074939061,0,6,6,12,0,1,1
75,102,drugs_alcohol,495,cvd_stroke_isch,429723,9023,0,continuous,gday,-0.072570693,0.102298663,0,6,12,24,0,1,1
76,102,drugs_alcohol,495,cvd_stroke_isch,429723,9023,0,continuous,gday,0.173953307,0.179992271,0,6,24,36,0,1,1
77,102,drugs_alcohol,495,cvd_stroke_isch,298315,9023,0,continuous,gday,-0.693147181,0.434884717,0,0,1.42857143,12.85714287,0,1,1
78,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,-0.2390169,0.062333102,0,0.1,0.1,4.9,0,1,1
79,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.048790164,0.074786107,0,1.714285714,1.714285714,10.28571428,0,1,1
80,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.482426149,0.174595281,0,0,17.14285715,24,1,1,1
81,102,drugs_alcohol,495,cvd_stroke_isch,298322,9023,0,continuous,gday,-0.223143551,0.090988506,0,0,0.333333333,9.666666657,0,1,1
82,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.020202707,0.105552018,0,0,11.42857143,24.17000001,0,1,1
83,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,1
84,102,drugs_alcohol,495,cvd_stroke_isch,431865,9023,0,continuous,gday,-0.174353387,0.10838857,0,1.428571429,1.428571429,1.428571429,0,1,1
85,102,drugs_alcohol,495,cvd_stroke_isch,431865,9023,0,continuous,gday,0,0.088853749,0,1.428571429,2.857142858,5.714285716,0,1,1
86,102,drugs_alcohol,495,cvd_stroke_isch,432124,9023,0,continuous,gday,0.641853886,0.280258237,0,0,56.01078432,84.01617648,0,1,1
87,102,drugs_alcohol,495,cvd_stroke_isch,432126,9023,0,continuous,gday,-0.653926467,0.252196784,0,0,0,8.00000001,0,1,1
88,102,drugs_alcohol,495,cvd_stroke_isch,298332,9023,0,continuous,gday,0.182321557,0.206869953,0,0,11.6689134,30.33917484,0,1,1
89,102,drugs_alcohol,495,cvd_stroke_isch,429889,9023,0,continuous,gday,-0.446287103,0.264092519,0,0,1.285714286,9.000000002,1,1,1
90,102,drugs_alcohol,495,cvd_stroke_isch,155207,9023,0,continuous,gday,0.254642218,0.25627126,0,0,15,29.9,0,1,1
91,102,drugs_alcohol,495,cvd_stroke_isch,432168,9023,0,continuous,gday,0.21511138,0.364060295,0.142857143,30.00000003,30.00000003,45.00000005,0,1,1
92,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,-0.15082289,0.172606602,0,0,9.142857144,16,1,1,1
93,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,1
94,102,drugs_alcohol,495,cvd_stroke_isch,429908,9023,0,continuous,gday,0.451075619,1.572757079,0,0,40,60,0,1,1
95,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
96,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
97,102,drugs_alcohol,495,cvd_stroke_isch,357435,9023,0,continuous,gday,1.205970807,0.304152236,0,0,17.14285715,51.42857144,0,1,1
98,102,drugs_alcohol,495,cvd_stroke_isch,298313,9023,0,continuous,gday,0.620576488,0.378220783,0,0,14.2857143,42.71428576,0,1,1
99,102,drugs_alcohol,495,cvd_stroke_isch,309682,9023,0,continuous,gday,0.300104592,0.326169303,0,0,31.5696,47.3544,0,1,1
100,102,drugs_alcohol,495,cvd_stroke_isch,309695,9023,0,continuous,gday,0.262364264,0.303465323,0,0.913263429,42,69,0,1,1
101,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
102,102,drugs_alcohol,495,cvd_stroke_isch,430002,9023,0,continuous,gday,0.657520003,0.406432418,0,1.42857143,42.8571429,64.28571435,0,1,1
103,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.010050336,0.071900804,0,0,0,1.714285714,0,1,1
104,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
105,102,drugs_alcohol,495,cvd_stroke_isch,429908,9023,0,continuous,gday,-1.203972804,0.427647295,0,0,0,40,0,1,1
106,102,drugs_alcohol,495,cvd_stroke_isch,298330,9023,0,continuous,gday,0.292669614,0.143119698,0,0,46,68.9,1,1,1
107,102,drugs_alcohol,495,cvd_stroke_isch,298314,9023,0,continuous,gday,1.348073148,0.598099309,0,0,30,45,0,1,1
108,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
109,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,1
110,102,drugs_alcohol,495,cvd_stroke_isch,129944,9023,0,continuous,gday,0,0.073388284,0,0,20,20,1,1,1
111,102,drugs_alcohol,495,cvd_stroke_isch,129944,9023,0,continuous,gday,0.300104592,0.107306099,0,0,40,40,1,1,1
112,102,drugs_alcohol,495,cvd_stroke_isch,129944,9023,0,continuous,gday,0.2390169,0.164029948,0,0,50,50,1,1,1
113,102,drugs_alcohol,495,cvd_stroke_isch,298315,9023,0,continuous,gday,0.727548607,0.421664037,0,0,57.1428572,85.7142858,0,1,1
114,102,drugs_alcohol,495,cvd_stroke_isch,298323,9023,0,continuous,gday,0.131028262,0.484538299,0,0,24,36,0,1,1
115,102,drugs_alcohol,495,cvd_stroke_isch,429803,9023,0,continuous,gday,-0.544727175,0.158374112,0,0,0,15,1,1,1
116,102,drugs_alcohol,495,cvd_stroke_isch,429803,9023,0,continuous,gday,-0.494296322,0.227121236,0,0,15,22.5,1,1,1
117,102,drugs_alcohol,495,cvd_stroke_isch,428518,9023,0,continuous,gday,-0.210721031,0.24375292,0,0,14.42857144,35.71428575,0,1,1
118,102,drugs_alcohol,495,cvd_stroke_isch,428518,9023,0,continuous,gday,0.198850859,0.296017767,0,0,35.71428575,53.57142863,0,1,1
119,102,drugs_alcohol,495,cvd_stroke_isch,432120,9023,0,continuous,gday,0.565313809,0.411859293,0,0,21.57142859,42.8571429,0,1,1
120,102,drugs_alcohol,495,cvd_stroke_isch,432120,9023,0,continuous,gday,1.593308531,0.559824202,0,0,42.8571429,64.28571435,0,1,1
121,102,drugs_alcohol,495,cvd_stroke_isch,432124,9023,0,continuous,gday,0.262364264,0.293343261,0,0,0,56.01078432,0,1,1
122,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
123,102,drugs_alcohol,495,cvd_stroke_isch,155207,9023,0,continuous,gday,-0.371063681,0.293015997,0,0,15,29.9,0,1,1
124,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,-0.2390169,0.062333102,0,0.1,0.1,4.9,0,1,1
125,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,-0.2390169,0.062333102,0,0.1,0.1,4.9,0,1,1
126,102,drugs_alcohol,495,cvd_stroke_isch,298320,9023,0,continuous,gday,0.431782416,0.180341965,0,0,60,90,0,1,1
127,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
128,102,drugs_alcohol,495,cvd_stroke_isch,432168,9023,0,continuous,gday,0.094310679,0.280258237,0,0,0.142857143,30.00000003,0,1,1
129,102,drugs_alcohol,495,cvd_stroke_isch,429434,9023,0,continuous,gday,-0.127833372,0.07506109,0,0,0,4.9,0,1,1
130,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,-0.020202707,0.108760891,0,0.930952381,0,5.585714286,0,1,1
131,102,drugs_alcohol,495,cvd_stroke_isch,309682,9023,0,continuous,gday,0.157003749,0.252447334,0,0,0.78924,11.04936,0,1,1
132,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.182321557,0.113848751,0,0,1.142857143,8.000000001,0,1,1
133,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,1
134,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
135,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
136,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
137,102,drugs_alcohol,495,cvd_stroke_isch,309682,9023,0,continuous,gday,0.173953307,0.498823697,0,0,11.8386,30.78036,0,1,1
138,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
139,102,drugs_alcohol,495,cvd_stroke_isch,373187,9023,0,continuous,gday,-0.061875404,0.078908482,0,0,5.142857148,24.64483535,0,1,1
140,102,drugs_alcohol,495,cvd_stroke_isch,298323,9023,0,continuous,gday,-0.261364764,0.24416141,0,0,0,12,0,1,1
141,102,drugs_alcohol,495,cvd_stroke_isch,298330,9023,0,continuous,gday,-0.210721031,0.161222642,0,0,0.1,22.9,1,1,1
142,102,drugs_alcohol,495,cvd_stroke_isch,298314,9023,0,continuous,gday,-0.061875404,0.619055424,0,0,10,20,0,1,1
143,102,drugs_alcohol,495,cvd_stroke_isch,431657,9023,0,continuous,gday,-1.771956842,0.339065293,0,0,1.142857143,10.28571429,0,1,1
144,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
145,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
146,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
147,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.020202707,0.105552018,0,0,11.42857143,24.17000001,0,1,1
148,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
149,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
150,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
151,102,drugs_alcohol,495,cvd_stroke_isch,298315,9023,0,continuous,gday,-0.342490309,0.300677295,0,0,1.42857143,12.85714287,0,1,1
152,102,drugs_alcohol,495,cvd_stroke_isch,298315,9023,0,continuous,gday,-0.798507696,0.457081497,0,0,14.2857143,55.71428577,0,1,1
153,102,drugs_alcohol,495,cvd_stroke_isch,298315,9023,0,continuous,gday,1.605429891,1.309777236,0,0,57.1428572,85.7142858,0,1,1
154,102,drugs_alcohol,495,cvd_stroke_isch,428518,9023,0,continuous,gday,0.067658648,0.215626265,0,0,0.142857143,14.2857143,0,1,1
155,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
156,102,drugs_alcohol,495,cvd_stroke_isch,298317,9023,0,continuous,gday,-0.616186139,0.337182612,0,0,0,21.42857145,0,1,1
157,102,drugs_alcohol,495,cvd_stroke_isch,298328,9023,0,continuous,gday,0.09531018,0.19149771,0,0,28.00539216,42.00808823,0,1,1
158,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
159,102,drugs_alcohol,495,cvd_stroke_isch,155207,9023,0,continuous,gday,-0.186329578,0.14626173,0,0,0.1,4.9,0,1,1
160,102,drugs_alcohol,495,cvd_stroke_isch,298332,9023,0,continuous,gday,0,0.17682326,0,0,0.77792756,10.89098584,0,1,1
161,102,drugs_alcohol,495,cvd_stroke_isch,298320,9023,0,continuous,gday,0.157003749,0.12918886,0,0,24.1,60,0,1,1
162,102,drugs_alcohol,495,cvd_stroke_isch,324087,9023,0,continuous,gday,0.262364264,0.323252986,0,0.434444444,26.06666664,39.09999996,0,1,1
163,102,drugs_alcohol,495,cvd_stroke_isch,428833,9023,0,continuous,gday,-0.673344553,0.3089516,0,0,10,20,0,1,1
164,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,1
165,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
166,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
167,102,drugs_alcohol,495,cvd_stroke_isch,298322,9023,0,continuous,gday,-0.105360516,0.137499107,0,0,30,45,0,1,1
168,102,drugs_alcohol,495,cvd_stroke_isch,429434,9023,0,continuous,gday,-0.15082289,0.088853749,0,0,5,14.9,0,1,1
169,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.593326845,0.198674139,0,0,40.00000001,60.00000001,1,1,1
170,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
171,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
172,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,-0.2390169,0.062333102,0,0.1,0.1,4.9,0,1,1
173,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,-0.2390169,0.062333102,0,0.1,0.1,4.9,0,1,1
174,102,drugs_alcohol,495,cvd_stroke_isch,309682,9023,0,continuous,gday,0.2390169,0.29423993,0,0,0.78924,11.04936,0,1,1
175,102,drugs_alcohol,495,cvd_stroke_isch,430002,9023,0,continuous,gday,0.385262401,0.35278323,0,1.42857143,14.2857143,42.8571429,0,1,1
176,102,drugs_alcohol,495,cvd_stroke_isch,373187,9023,0,continuous,gday,-0.223143551,0.095585064,0,0,0.142857143,5.000000005,0,1,1
177,102,drugs_alcohol,495,cvd_stroke_isch,298313,9023,0,continuous,gday,0.993251773,0.654846566,0,0,14.2857143,42.71428576,0,1,1
178,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
179,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,-0.2390169,0.062333102,0,0.1,0.1,4.9,0,1,1
180,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,0.270027137,0.179581147,0,0.930952381,33.51428572,50.27142857,0,1,1
181,102,drugs_alcohol,495,cvd_stroke_isch,298330,9023,0,continuous,gday,-0.061875404,0.13867741,0,0,23,45.9,1,1,1
182,102,drugs_alcohol,495,cvd_stroke_isch,298330,9023,0,continuous,gday,0.329303747,0.194959975,0,0,69,103.5,1,1,1
183,102,drugs_alcohol,495,cvd_stroke_isch,431967,9023,0,continuous,gday,-0.328504067,0.311030683,0,0,15,30,0,1,1
184,102,drugs_alcohol,495,cvd_stroke_isch,129944,9023,0,continuous,gday,-0.248461359,0.071505603,0,0,10,10,1,1,1
185,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,0.270027137,0.179581147,0,0.930952381,33.51428572,50.27142857,0,1,1
186,102,drugs_alcohol,495,cvd_stroke_isch,129944,9023,0,continuous,gday,0.139761942,0.097091082,0,0,30,30,1,1,1
187,102,drugs_alcohol,495,cvd_stroke_isch,431680,9023,0,continuous,gday,-0.261364764,0.153402967,0,0,0,1.428571429,0,1,1
188,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,1
