seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_edu
20,102,drugs_alcohol,441,neo_colorectal,163043,9023,0,continuous,gday,0.0198026272961797,0.176823260346925,0,0,30,45,1,0,0
21,102,drugs_alcohol,441,neo_colorectal,296193,9023,0,continuous,gday,0.198850858745165,0.22846035748904,0,0,8,28,1,0,0
22,102,drugs_alcohol,441,neo_colorectal,309621,9023,0,continuous,gday,0.576613364303994,0.507745385618915,0,0,28,42,0,1,1
23,102,drugs_alcohol,441,neo_colorectal,163043,9023,0,continuous,gday,0.0392207131532813,0.138573222772712,0,0,10,19.9,1,0,0
24,102,drugs_alcohol,441,neo_colorectal,296193,9023,0,continuous,gday,0.048790164169432,0.236821191426104,0,0,1,6,1,0,0
25,102,drugs_alcohol,441,neo_colorectal,163043,9023,0,continuous,gday,-0.083381608939051,0.113708930419925,0,0,1,4.9,1,0,0
26,102,drugs_alcohol,441,neo_colorectal,164476,9023,0,continuous,gday,0.235467301003042,0.0693092641229004,0,0,18.56,27.84,0,0,1
27,102,drugs_alcohol,441,neo_colorectal,164476,9023,0,continuous,gday,0.150314760658868,0.0748456878219261,0,0,3.09333333333333,18.56,0,0,1
28,102,drugs_alcohol,441,neo_colorectal,164476,9023,0,continuous,gday,-0.182001607983035,0.107932925128624,0,0,1,3.09333333333333,0,0,1
29,102,drugs_alcohol,441,neo_colorectal,296215,9023,0,continuous,gday,0.28562996832565,0.149491133072859,0,0,14,21,0,1,1
30,102,drugs_alcohol,441,neo_colorectal,298366,9023,0,continuous,gday,0.609765571620894,0.17289853615318,0,0,13,19.5,0,0,0
31,102,drugs_alcohol,441,neo_colorectal,296141,9023,0,continuous,gday,0.182321556793955,0.20828326443672,0,0,0.789,41.817,0,0,1
32,102,drugs_alcohol,441,neo_colorectal,296215,9023,0,continuous,gday,0.0728786454125725,0.152731712503365,0,0,6,13,0,1,1
33,102,drugs_alcohol,441,neo_colorectal,296215,9023,0,continuous,gday,-0.0813185211775883,0.153430998821234,0,0,1,5,0,1,1
34,102,drugs_alcohol,441,neo_colorectal,309625,9023,0,continuous,gday,-0.162518929497775,0.224120000992681,0,0,21.33,40.527,0,0,1
35,102,drugs_alcohol,441,neo_colorectal,296154,9023,0,continuous,gday,0.0861776962410524,0.455184819066464,0,0,21.303,40.4757,0,0,1
36,102,drugs_alcohol,441,neo_colorectal,309627,9023,0,continuous,gday,-0.356674943938732,0.47087415573937,0,0,21,40,0,0,1
37,102,drugs_alcohol,441,neo_colorectal,296134,9023,0,continuous,gday,0.285178942233662,0.654853622807749,0,0,19.8571428571429,77.1428571428571,1,0,0
38,102,drugs_alcohol,441,neo_colorectal,309617,9023,0,continuous,gday,0.468377307501151,0.181870925736712,0,0,5.71428571428571,8.57142857142857,0,1,1
39,102,drugs_alcohol,441,neo_colorectal,309617,9023,0,continuous,gday,0.136190354450265,0.133865141355846,0,0,1,5.57142857142857,0,1,1
40,102,drugs_alcohol,441,neo_colorectal,296157,9023,0,continuous,gday,0.832909122935104,0.650202529907972,0,0,23.463,35.1945,0,1,1
41,102,drugs_alcohol,441,neo_colorectal,296134,9023,0,continuous,gday,0.451075619360217,0.582760490399585,0,0,0.142857142857143,19.7142857142857,1,0,0
42,102,drugs_alcohol,441,neo_colorectal,309620,9023,0,continuous,gday,0.153493320957109,0.131363509492464,0,1.42857142857143,40,58.5714285714286,0,0,1
43,102,drugs_alcohol,441,neo_colorectal,296141,9023,0,continuous,gday,0.593326845277734,0.205695988592592,0,0,63.909,95.8635,0,0,1
44,102,drugs_alcohol,441,neo_colorectal,298356,9023,0,continuous,gday,0.845868267577609,0.236165682609362,0,0,20,30,0,0,1
45,102,drugs_alcohol,441,neo_colorectal,309621,9023,0,continuous,gday,-0.0408219945202552,0.165483524997222,0,0,0.14,7,0,1,1
46,102,drugs_alcohol,441,neo_colorectal,163043,9023,0,continuous,gday,-0.0725706928348354,0.138097236656107,0,0,5,9.9,1,0,0
47,102,drugs_alcohol,441,neo_colorectal,298365,9023,0,continuous,gday,0.0545828777702917,0.187667946637726,0,0,1,9.85714285714286,0,1,1
48,102,drugs_alcohol,441,neo_colorectal,296141,9023,0,continuous,gday,0.300104592450338,0.184837596120746,0,0,42.606,63.12,0,0,1
49,102,drugs_alcohol,441,neo_colorectal,298283,9023,0,continuous,gday,0.0953101798043249,0.514005872587312,0,0,1,40.527,1,0,1
50,102,drugs_alcohol,441,neo_colorectal,298283,9023,0,continuous,gday,0.336472236621213,0.530469781040774,0,0,42.66,63.99,1,0,1
51,102,drugs_alcohol,441,neo_colorectal,309636,9023,0,continuous,gday,0.470003629245736,0.424746878466559,0,9,70,105,0,0,0
52,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,0.246860077931526,0.238799326318963,0,0,30,45,0,0,0
53,102,drugs_alcohol,441,neo_colorectal,309623,9023,0,continuous,gday,0.657520002916794,0.205768949936418,0,0,50,75,0,0,0
54,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,-0.23572233352107,0.222498829594115,0,0,5,14.9,0,0,0
55,102,drugs_alcohol,441,neo_colorectal,309620,9023,0,continuous,gday,-0.00471107973011922,0.184471276574946,0,1.42857142857143,58.5714285714286,87.8571428571429,0,0,1
56,102,drugs_alcohol,441,neo_colorectal,309625,9023,0,continuous,gday,0.783901543828409,0.319582389922288,0,0,63.99,95.985,0,0,1
57,102,drugs_alcohol,441,neo_colorectal,309625,9023,0,continuous,gday,0.593326845277734,0.289181634582688,0,0,42.66,61.857,0,0,1
58,102,drugs_alcohol,441,neo_colorectal,309639,9023,0,continuous,gday,0.806475865866949,0.35364652069385,0,0,0.789,23.67,0,0,1
59,102,drugs_alcohol,441,neo_colorectal,309627,9023,0,continuous,gday,0.0953101798043249,0.522370623307463,0,0,1,20,0,0,1
60,102,drugs_alcohol,441,neo_colorectal,298356,9023,0,continuous,gday,0.198850858745165,0.380744024075306,0,0,1,9.96666666666667,0,0,1
61,102,drugs_alcohol,441,neo_colorectal,298356,9023,0,continuous,gday,0.683096844706444,0.369736470554838,0,0,10,19.9666666666667,0,0,1
62,102,drugs_alcohol,441,neo_colorectal,296144,9023,0,continuous,gday,0.641853886172395,0.287247771136792,0,0,22.8,34.2,0,0,0
63,102,drugs_alcohol,441,neo_colorectal,296144,9023,0,continuous,gday,0.405465108108164,0.3796114937321,0,0,22.8,34.2,0,0,0
64,102,drugs_alcohol,441,neo_colorectal,296144,9023,0,continuous,gday,0.262364264467491,0.392970673711007,0,0,1,22.7,0,0,0
65,102,drugs_alcohol,441,neo_colorectal,296144,9023,0,continuous,gday,0.182321556793955,0.439481274933955,0,0,1,22.7,0,0,0
66,102,drugs_alcohol,441,neo_colorectal,298358,9023,0,continuous,gday,0.943905898907128,0.178228784788499,0,0,20,30,0,0,1
67,102,drugs_alcohol,441,neo_colorectal,309636,9023,0,continuous,gday,-0.356674943938732,0.300677294985114,0,9,40,69,0,0,0
68,102,drugs_alcohol,441,neo_colorectal,298358,9023,0,continuous,gday,0.0861776962410524,0.171869667016032,0,0,1.42857142857143,7.14285714285714,0,0,1
69,102,drugs_alcohol,441,neo_colorectal,447149,9023,0,continuous,gday,0.122217632724249,0.18633126922377,0,0,1.42857142857143,10,0,0,1
70,102,drugs_alcohol,441,neo_colorectal,296154,9023,0,continuous,gday,0.336472236621213,0.484666814226685,0,0,42.606,63.909,0,0,1
71,102,drugs_alcohol,441,neo_colorectal,298351,9023,0,continuous,gday,-0.415515443961666,0.111333503497993,0,0,1,14,0,0,0
72,102,drugs_alcohol,441,neo_colorectal,309639,9023,0,continuous,gday,0.883767540168595,0.316763554160404,0,0,24.459,36.6885,0,0,1
73,102,drugs_alcohol,441,neo_colorectal,309639,9023,0,continuous,gday,0.122217632724249,0.319582389922288,0,0,0.789,23.67,0,0,1
74,102,drugs_alcohol,441,neo_colorectal,309636,9023,0,continuous,gday,0,0.326768838128078,0,9,10,39,0,0,0
75,102,drugs_alcohol,441,neo_colorectal,296193,9023,0,continuous,gday,-0.301105092783922,0.169499253744264,0,0,1,6,1,0,0
76,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,-0.510825623765991,0.231048117995821,0,0,5,14.9,0,0,0
77,102,drugs_alcohol,441,neo_colorectal,296157,9023,0,continuous,gday,1.25276296849537,0.650202529907972,0,0,2.133,21.33,0,1,1
78,102,drugs_alcohol,441,neo_colorectal,309620,9023,0,continuous,gday,-0.0431162910736281,0.0461993943944422,0,1.42857142857143,1.42857142857143,10,0,0,1
79,102,drugs_alcohol,441,neo_colorectal,309625,9023,0,continuous,gday,-0.673344553263766,0.271609881885824,0,0,1,19.197,0,0,1
80,102,drugs_alcohol,441,neo_colorectal,309632,9023,0,continuous,gday,0.0582689081239758,0.149586531922,0,0,6,10,0,0,1
81,102,drugs_alcohol,441,neo_colorectal,296141,9023,0,continuous,gday,0.405465108108164,0.162379664938887,0,0,0.789,41.817,0,0,1
82,102,drugs_alcohol,441,neo_colorectal,298365,9023,0,continuous,gday,0.785544029825913,0.258047431217375,0,0,10,15,0,1,1
83,102,drugs_alcohol,441,neo_colorectal,309623,9023,0,continuous,gday,0.113328685307003,0.194423482665025,0,0,10,20,0,0,0
84,102,drugs_alcohol,441,neo_colorectal,298351,9023,0,continuous,gday,-0.0725706928348354,0.143798243194658,0,0,14,21,0,0,0
85,102,drugs_alcohol,441,neo_colorectal,309627,9023,0,continuous,gday,0.693147180559945,0.521192320793102,0,0,41,61.5,0,0,1
86,102,drugs_alcohol,441,neo_colorectal,309632,9023,0,continuous,gday,-0.0304592074847086,0.119484421816003,0,0,2,4,0,0,1
87,102,drugs_alcohol,441,neo_colorectal,447149,9023,0,continuous,gday,0.104360015324243,0.207634877350149,0,0,10,15,0,0,1
88,102,drugs_alcohol,441,neo_colorectal,298358,9023,0,continuous,gday,0.470003629245736,0.175691985584714,0,0,8.57142857142857,18.5714285714286,0,0,1
89,102,drugs_alcohol,441,neo_colorectal,309623,9023,0,continuous,gday,0.371563556432483,0.217677265270301,0,0,30,40,0,0,0
90,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,0.00995033085316809,0.267173212826673,0,0,15,29.9,0,0,0
91,102,drugs_alcohol,441,neo_colorectal,309620,9023,0,continuous,gday,-0.0413429635343824,0.065698496466202,0,1.42857142857143,10,20,0,0,1
92,102,drugs_alcohol,441,neo_colorectal,309618,9023,0,continuous,gday,0.324399655386944,0.160524347708321,0,5,5,29,0,1,1
93,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,-0.342490308946776,0.179361610054366,0,0,1,4.9,0,0,0
94,102,drugs_alcohol,441,neo_colorectal,543503,9023,0,continuous,gday,0.00139902091370741,0.633537079980898,0,10,10,20,0,1,1
95,102,drugs_alcohol,441,neo_colorectal,543503,9023,0,continuous,gday,0.139761942375159,0.381151858270311,0,10,20,30,0,1,1
96,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.104360015324243,0.0620781272019717,0,0,1,4.9,0,0,0
97,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.165514438477573,0.0990136866725828,0,0,5,14.9,0,0,0
98,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.542324290825362,0.323950002366194,0,0,15,22.5,0,0,0
99,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.165514438477573,0.143168274876887,0,0,1,4.9,0,0,0
100,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.0295588022415444,0.146983546932255,0,0,5,14.9,0,0,0
101,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.285178942233662,0.29908123947126,0,0,15,22.5,0,0,0
102,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,-0.0100503358535015,0.0771124673145239,0,0,1,4.9,0,0,0
103,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.0769610411361284,0.101495027735445,0,0,5,14.99,0,0,0
104,102,drugs_alcohol,441,neo_colorectal,543536,9023,0,continuous,gday,0.157003748809665,0.166096669468481,0,0,15,22.5,0,0,0
105,102,drugs_alcohol,441,neo_colorectal,543547,9023,0,continuous,gday,-0.328504066972036,0.259674330973971,40,60,20,30,0,0,1
106,102,drugs_alcohol,441,neo_colorectal,543547,9023,0,continuous,gday,-0.49429632181478,0.188690611274193,40,60,0,20,0,0,1
107,102,drugs_alcohol,441,neo_colorectal,543547,9023,0,continuous,gday,-0.693147180559945,0.436984334534424,30,45,10,20,0,0,1
108,102,drugs_alcohol,441,neo_colorectal,543547,9023,0,continuous,gday,-0.261364764134408,0.335476237712123,30,45,0,10,0,0,1
109,102,drugs_alcohol,441,neo_colorectal,542884,9023,0,continuous,gday,0.048790164169432,0.00971934852864042,1.14285714285714,2.28571428571429,3.42857142857143,6.85714285714286,0,0,0
110,102,drugs_alcohol,441,neo_colorectal,542884,9023,0,continuous,gday,0.122217632724249,0.00903110383951933,1.14285714285714,2.28571428571429,8,16,0,0,0
111,102,drugs_alcohol,441,neo_colorectal,542884,9023,0,continuous,gday,0.2390169004705,0.0180146855137636,1.14285714285714,2.28571428571429,17.1428571428571,25.7142857142857,0,0,0
112,102,drugs_alcohol,441,neo_colorectal,543623,9023,0,continuous,gday,0.0953101798043249,0.144072962732586,0,0,1,14,0,0,0
113,102,drugs_alcohol,441,neo_colorectal,543623,9023,0,continuous,gday,0.27763173659828,0.185009054875369,0,0,15,29,0,0,0
114,102,drugs_alcohol,441,neo_colorectal,543623,9023,0,continuous,gday,0.470003629245736,0.24434687111914,0,0,30,44,0,0,0
115,102,drugs_alcohol,441,neo_colorectal,543623,9023,0,continuous,gday,0.732367893713227,0.244208866224881,0,0,45,59,0,0,0
116,102,drugs_alcohol,441,neo_colorectal,543623,9023,0,continuous,gday,0.703097511413113,0.181306715658534,0,0,60,90,0,0,0
117,102,drugs_alcohol,441,neo_colorectal,502135,9023,0,continuous,gday,0.165514438477573,0.069016783216529,0,0,0.142857142857143,14.2857142857143,0,0,1
118,102,drugs_alcohol,441,neo_colorectal,502135,9023,0,continuous,gday,0.350656871613169,0.121035198876305,0,0,14.2857142857143,21.4285714285714,0,0,1
119,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.131028262406404,0.0694935204900491,0,0,1.2,6,0,0,0
120,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.122217632724249,0.0858347542401054,0,0,6,12,0,0,0
121,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.207014169384326,0.0991902523224999,0,0,12,18,0,0,0
122,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.048790164169432,0.0585649085827806,0,0,1.2,6,0,0,0
123,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.165514438477573,0.0963972325482998,0,0,6,12,0,0,0
124,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.231111720963387,0.152372250451484,0,0,12,18,0,0,0
125,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.104360015324243,0.097828112599334,0,0,1.2,6,0,0,0
126,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.27763173659828,0.114425687307264,0,0,6,12,0,0,0
127,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.371563556432483,0.129399949596456,0,0,12,18,0,0,0
128,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.165514438477573,0.0946070354415022,0,0,1.2,6,0,0,0
129,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.385262400790645,0.14014267545108,0,0,6,12,0,0,0
130,102,drugs_alcohol,441,neo_colorectal,543651,9023,0,continuous,gday,0.727548607277278,0.203792689736493,0,0,12,18,0,0,0
131,102,drugs_alcohol,441,neo_colorectal,528708,9023,0,continuous,gday,0.0295588022415444,0.0691007536059693,1.42857142857143,5,0,1.42857142857143,0,0,0
132,102,drugs_alcohol,441,neo_colorectal,528708,9023,0,continuous,gday,-0.0304592074847086,0.0809586328055861,1.42857142857143,5,5,10,0,0,0
133,102,drugs_alcohol,441,neo_colorectal,528708,9023,0,continuous,gday,0.131028262406404,0.0779034820283627,1.42857142857143,5,10,20,0,0,0
134,102,drugs_alcohol,441,neo_colorectal,528708,9023,0,continuous,gday,0.207014169384326,0.0889993962955869,1.42857142857143,5,20,40,0,0,0
135,102,drugs_alcohol,441,neo_colorectal,528708,9023,0,continuous,gday,0.262364264467491,0.115527384439477,1.42857142857143,5,40,60,0,0,0
136,102,drugs_alcohol,441,neo_colorectal,439714,9023,0,continuous,gday,0.113328685307003,0.00686414615304188,0,0,10,30,0,0,1
137,102,drugs_alcohol,441,neo_colorectal,439714,9023,0,continuous,gday,0.27763173659828,0.00962763468950181,0,0,30,45,0,0,1
138,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,-0.462035459596559,0.397948432441513,0,0,0.00216438356164384,17.5315068493151,0,0,0
139,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,0.0861776962410524,0.436893405272789,0,0,17.5315068493151,35.0630136986301,0,0,0
140,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,-0.0100503358535015,0.427775304395314,0,0,35.0630136986301,70.1260273972603,0,0,0
141,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,-0.287682072451781,0.8142467225715,0,0,70.1260273972603,105.18904109589,0,0,0
142,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,0.806475865866949,0.510649218358356,0,0,0.00216438356164384,17.5315068493151,0,0,0
143,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,0.688134638736401,0.463898606981839,0,0,17.5315068493151,35.0630136986301,0,0,0
144,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,0.904218150639886,0.418860139262895,0,0,35.0630136986301,70.1260273972603,0,0,0
145,102,drugs_alcohol,441,neo_colorectal,309634,9023,0,continuous,gday,1.55814461804655,0.185188011067076,0,0,70.1260273972603,105.18904109589,0,0,0
